customer_id,customer_name,age,gender,city,state,signup_date,phone,is_premium
C0001,Aarav Menon,32.0,F,Pune,Maharashtra,2023-08-28,7127978094,True
C0002,Pooja Iyer,,F,Delhi,Delhi,2022-06-09,7303959797,False
C0003,Priya Menon,25.0,M,Chennai,Tamil Nadu,2023-08-15,7298737106,False
C0004,Siddharth Singh,41.0,F,Pune,Maharashtra,2023-09-16,7535470589,True
C0005,Rahul Sharma,20.0,M,Delhi,Delhi,2024-06-16,9761027762,True
C0006,Vikram Iyer,52.0,M,Chennai,Tamil Nadu,2022-05-22,7202363285,True
C0007,Siddharth Gupta,47.0,Other,Pune,Maharashtra,2023-11-30,8260573448,True
C0008,Aarav Menon,34.0,M,Ahmedabad,Gujarat,2024-05-11,9615507143,False
C0009,Isha Sharma,41.0,M,Hyderabad,Telangana,2024-06-18,7367878761,True
C0010,Ananya Singh,56.0,M,Ahmedabad,Gujarat,2024-01-01,9222971316,False
C0011,Divya Patel,55.0,M,Delhi,Delhi,2022-08-23,7232177391,False
C0012,Vikram Menon,54.0,F,Delhi,Delhi,2022-04-07,8851350739,False
C0013,Siddharth Menon,24.0,F,Mumbai,Maharashtra,2022-10-13,7323775634,True
C0014,Rohan Iyer,49.0,M,Mumbai,Maharashtra,2023-02-04,9842715617,True
C0015,Meera Iyer,55.0,M,Delhi,Delhi,2023-05-04,7676168421,False
C0016,Divya Gupta,54.0,M,Pune,Maharashtra,2023-08-02,9194551180,True
C0017,Meera Joshi,,M,Bengaluru,Karnataka,2023-07-05,8143619016,True
C0018,Nikhil Kulkarni,57.0,,Bengaluru,Karnataka,2023-11-11,8135872495,True
C0019,Karan Menon,61.0,F,Chennai,Tamil Nadu,2022-04-05,7011653719,True
C0020,Pooja Kulkarni,22.0,F,Ahmedabad,Gujarat,2023-08-20,8845919895,False
C0021,Divya Rao,67.0,M,Delhi,Delhi,2024-06-04,8426725702,False
C0022,Ananya Menon,20.0,Other,Chennai,Tamil Nadu,2022-11-09,7829486135,False
C0023,Rohan Singh,50.0,M,Chennai,Tamil Nadu,2022-04-29,8121910732,False
C0024,Kavya Menon,45.0,F,Kolkata,West Bengal,2022-09-18,7007263971,False
C0025,Rohan Rao,57.0,F,Kolkata,West Bengal,2023-11-14,9994487334,True
C0026,Ananya Desai,,F,Kolkata,West Bengal,2023-04-22,9901796894,True
C0027,Rohan Iyer,32.0,M,Hyderabad,Telangana,2023-09-18,8955997540,True
C0028,Siddharth Iyer,,F,Ahmedabad,Gujarat,2022-02-21,7436970901,False
C0029,Nikhil Reddy,48.0,Other,Kolkata,West Bengal,2023-10-04,9338147450,False
C0030,Rohan Reddy,42.0,M,Hyderabad,Telangana,2023-07-10,7267429212,False
C0031,Isha Sharma,37.0,Other,Kolkata,West Bengal,2023-05-15,8443665390,True
C0032,Vikram Desai,43.0,M,Ahmedabad,Gujarat,2024-06-06,7909074012,False
C0033,Siddharth Singh,44.0,M,Hyderabad,Telangana,2022-12-25,9799264931,True
C0034,Divya Reddy,25.0,F,Bengaluru,Karnataka,2022-06-21,7491914923,True
C0035,Siddharth Menon,55.0,M,Kolkata,West Bengal,2024-05-20,8491228808,False
C0036,Rahul Sharma,70.0,M,Pune,Maharashtra,2023-12-26,9645323395,False
C0037,Arjun Nair,23.0,Other,Kolkata,West Bengal,2022-12-11,8597637802,False
C0038,Arjun Kulkarni,30.0,F,Chennai,Tamil Nadu,2023-12-09,9598212260,False
C0039,Divya Singh,41.0,F,Kolkata,West Bengal,2022-12-27,8316935719,False
C0040,Ananya Iyer,48.0,Other,Pune,Maharashtra,2022-04-13,8272368870,True
C0041,Arjun Sharma,53.0,F,Bengaluru,Karnataka,2022-04-16,8538172746,True
C0042,Arjun Joshi,22.0,F,Mumbai,Maharashtra,2022-06-02,9396905421,False
C0043,Siddharth Joshi,37.0,M,Delhi,Delhi,,7892442253,True
C0044,Ananya Kulkarni,18.0,F,Delhi,Delhi,2022-10-23,7305714736,True
C0045,Divya Rao,35.0,F,Pune,Maharashtra,2024-02-06,7407471433,True
C0046,Isha Joshi,20.0,M,Chennai,Tamil Nadu,,7752438459,True
C0047,Arjun Reddy,45.0,M,Ahmedabad,Gujarat,2022-12-08,9979305739,True
C0048,Priya Joshi,34.0,F,Kolkata,West Bengal,2023-11-05,7177634586,False
C0049,Nikhil Sharma,53.0,F,Ahmedabad,Gujarat,2023-10-08,7058731376,False
C0050,Sneha Joshi,59.0,F,Delhi,Delhi,2023-03-02,7621232513,False
C0051,Rohan Singh,44.0,M,Bengaluru,Karnataka,2024-01-14,7638212450,True
C0052,Kavya Nair,52.0,Other,Ahmedabad,Gujarat,2023-08-09,8637375316,True
C0053,Priya Reddy,55.0,Other,Ahmedabad,Gujarat,2022-01-16,7505819807,False
C0054,Rohan Nair,52.0,F,Kolkata,West Bengal,2024-06-12,7769292727,False
C0055,Pooja Patel,63.0,F,Pune,Maharashtra,2022-02-17,8260005019,False
C0056,Ananya Reddy,57.0,F,Kolkata,West Bengal,2022-08-26,7040361651,True
C0057,Rohan Joshi,55.0,F,Bengaluru,Karnataka,,8249684963,True
C0058,Siddharth Singh,61.0,M,Mumbai,Maharashtra,2024-03-05,7717693442,True
C0059,Priya Singh,20.0,M,Pune,Maharashtra,2024-02-05,9577280701,True
C0060,Isha Singh,39.0,M,Chennai,Tamil Nadu,2024-05-30,9896552701,True
C0061,Arjun Kulkarni,41.0,M,Mumbai,Maharashtra,2022-04-21,7107480046,False
C0062,Meera Rao,,M,Ahmedabad,Gujarat,2023-02-02,9991375951,True
C0063,Isha Desai,35.0,F,Pune,Maharashtra,2024-05-25,9944974316,True
C0064,Karan Patel,70.0,F,Chennai,Tamil Nadu,2022-02-21,8046120419,True
C0065,Karan Iyer,27.0,M,Delhi,Delhi,2022-05-14,7749459431,False
C0066,Rahul Sharma,21.0,M,Delhi,Delhi,2023-04-05,9549776132,False
C0067,Meera Joshi,19.0,F,Mumbai,Maharashtra,2023-05-18,7315640205,False
C0068,Arjun Desai,53.0,M,Bengaluru,Karnataka,2023-06-02,7491404673,True
C0069,Divya Gupta,47.0,M,Ahmedabad,Gujarat,,7400420225,False
