customer_id,customer_name,age,gender,city,state,signup_date,phone,is_premium
C0001,aarav menon,32,Female,Pune,Maharashtra,2023-08-28,+91-7127978094,1
C0002,Pooja Iyer,N/A,Female,New Delhi,Delhi,2022-06-09,+91 73039 59797,N
C0003,Priya Menon,25,Male,CHENNAI,Tamil Nadu,2023-08-15,+91-7298737106,no
C0004,Siddharth Singh,41,Female,Pune,Maharashtra,16/09/2023,+91 75354 70589,1
C0005,rahul sharma,20,M,Dehli,Delhi,16-Jun-24,09761027762,yes
C0006,Vikram Iyer,52,Male,chennai,Tamil Nadu,22/05/2022,7202363285,TRUE
C0007,Siddharth Gupta,47,O,Pune,Maharashtra,11/30/2023,08260573448,yes
C0008,Aarav Menon,34,Male,AHMEDABAD,Gujarat,11/05/2024,+91-9615507143,0
C0009,ISHA SHARMA,41,male,hyderabad,Telangana,18/06/2024,7367878761,yes
C0010,Ananya Singh,56,Male,ahmedabad,Gujarat,2024-01-01,09222971316,No
C0011,  Divya Patel ,55,M,Delhi,Delhi,2022-08-23,+91 72321 77391,FALSE
C0012,Vikram Menon,54,female,delhi,Delhi,2022-04-07,+91-8851350739,No
C0013,  Siddharth Menon ,24,female,mumbai,Maharashtra,13/10/2022,+91-7323775634,1
C0014,rohan iyer,49,M,Mumbai,Maharashtra,2023-02-04,09842715617,yes
C0015,Meera Iyer,55,male,Dehli,Delhi,04/05/2023,7676168421,No
C0016,DIVYA GUPTA,54,Male,Poona,Maharashtra,02/08/2023,+91 91945 51180,TRUE
C0017,  Meera Joshi ,nan,Male,Bengaluru,Karnataka,2023-07-05,+91 81436 19016,Y
C0018,Nikhil Kulkarni,57,?,Bangalore,Karnataka,2023-11-11,8135872495,Y
C0019,  Karan Menon ,61,female,Chennai,Tamil Nadu,05/04/2022,+91 70116 53719,yes
C0020,POOJA KULKARNI,22,F,AHMEDABAD,Gujarat,20/08/2023,+91-8845919895,N
C0021,DIVYA RAO,67,Male,delhi,Delhi,2024-06-04,08426725702,no
C0022,ANANYA MENON,20,O,CHENNAI,Tamil Nadu,"November 09, 2022",07829486135,N
C0023,  Rohan Singh ,50,Male,Chennai,Tamil Nadu,"April 29, 2022",+91-8121910732,0
C0024,Kavya Menon,45,female,kolkata,West Bengal,2022-09-18,7007263971,N
C0025,Rohan Rao,57,Female,Calcutta,West Bengal,2023-11-14,9994487334,TRUE
C0026,Ananya Desai,NA,F,Calcutta,West Bengal,2023-04-22,+91-9901796894,Y
C0027,Rohan Iyer,32,M, Hyderabad,Telangana,"September 18, 2023",8955997540,TRUE
C0028,SIDDHARTH IYER,0,F,Amdavad,Gujarat,21/02/2022,+91 74369 70901,FALSE
C0029,Nikhil Reddy,48,O,KOLKATA,West Bengal,2023-10-04,+91 93381 47450,N
C0030,rohan reddy,42,M,HYDERABAD,Telangana,10/07/2023,+91-7267429212,0
C0031,Isha Sharma,37,O,kolkata,West Bengal,2023-05-15,08443665390,yes
C0032,Vikram Desai,43,M,ahmedabad,Gujarat,06/06/2024,07909074012,N
